dcterms:identifier,resource,rdf:type,rdf:type,osgeo:review_date,osgeo:review_decision,osgeo:review_decision_event,osgeo:review_decision_notes,osgeo:review_status
309,osgeo-review:Review309,osgeo:ConceptReview,owl:NamedIndividual,,,,,
310,osgeo-review:Review310,osgeo:ConceptReview,owl:NamedIndividual,,,,,
311,osgeo-review:Review311,osgeo:ConceptReview,owl:NamedIndividual,,,,,
312,osgeo-review:Review312,osgeo:ConceptReview,owl:NamedIndividual,,,,,
313,osgeo-review:Review313,osgeo:ConceptReview,owl:NamedIndividual,,,,,
314,osgeo-review:Review314,osgeo:ConceptReview,owl:NamedIndividual,,,,,
315,osgeo-review:Review315,osgeo:ConceptReview,owl:NamedIndividual,,,,,
316,osgeo-review:Review316,osgeo:ConceptReview,owl:NamedIndividual,,,,,
317,osgeo-review:Review317,osgeo:ConceptReview,owl:NamedIndividual,,,,,
318,osgeo-review:Review318,osgeo:ConceptReview,owl:NamedIndividual,,,,,
319,osgeo-review:Review319,osgeo:ConceptReview,owl:NamedIndividual,,,,,
320,osgeo-review:Review320,osgeo:ConceptReview,owl:NamedIndividual,,,,,
321,osgeo-review:Review321,osgeo:ConceptReview,owl:NamedIndividual,,,,,
322,osgeo-review:Review322,osgeo:ConceptReview,owl:NamedIndividual,,,,,
323,osgeo-review:Review323,osgeo:ConceptReview,owl:NamedIndividual,,,,,
324,osgeo-review:Review324,osgeo:ConceptReview,owl:NamedIndividual,,,,,
325,osgeo-review:Review325,osgeo:ConceptReview,owl:NamedIndividual,,,,,
326,osgeo-review:Review326,osgeo:ConceptReview,owl:NamedIndividual,,,,,
327,osgeo-review:Review327,osgeo:ConceptReview,owl:NamedIndividual,,,,,
328,osgeo-review:Review328,osgeo:ConceptReview,owl:NamedIndividual,,,,,
329,osgeo-review:Review329,osgeo:ConceptReview,owl:NamedIndividual,,,,,
330,osgeo-review:Review330,osgeo:ConceptReview,owl:NamedIndividual,,,,,
